[1] "Userchar,WindowSize,Slice,Model,Repeat,Accuracy_mean,Accuracy_sd,Kappa_mean,Kappa_sd,AccuracyHigh_mean,AccuracyHigh_sd,AccuracyLow_mean,AccuracyLow_sd"
[1] "BarChartLit,1000,1,MajorityClass,1,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,1,0.496666666666667,0.226868102214633,0.0904926446102916,0.414009697642053,0.4,0.438853725736256,0.586206896551724,0.261478463587984"
[1] "BarChartLit,1000,1,MajorityClass,1,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,1,0.556666666666667,0.19054826678642,0.151182151182151,0.37035745524716,0.44,0.332888592196871,0.655172413793103,0.223325968134775"
[1] "BarChartLit,1000,1,regLogistic,1,0.463333333333333,0.211081869319834,-0.0268398268398269,0.286874711409036,0.28,0.301109061083632,0.620689655172414,0.378758451396583"
[1] "BarChartLit,1000,1,xgbTree,1,0.666666666666667,0.226077666104176,0.331177156177156,0.464261544462175,0.64,0.311031735906066,0.689655172413793,0.249410279047731"
[1] "BarChartLit,1000,1,svmLinear,1,0.6,0.248948405582312,0.216779886779887,0.467188203664333,0.56,0.327278338896895,0.620689655172414,0.293234889016505"
[1] "BarChartLit,1000,1,MajorityClass,2,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,2,0.476666666666667,0.206708478446648,-0.0121794871794873,0.327173665203763,0.32,0.214592637338749,0.586206896551724,0.28662982876804"
[1] "BarChartLit,1000,1,regLogistic,2,0.52,0.263030768514228,-0.0451881451881452,0.39997460463798,0.52,0.219772609758359,0.517241379310345,0.405630701931676"
[1] "BarChartLit,1000,1,xgbTree,2,0.563333333333333,0.171017290296177,0.146951381951382,0.33426390088731,0.48,0.305450486986025,0.620689655172414,0.219700774782322"
[1] "BarChartLit,1000,1,svmLinear,2,0.583333333333333,0.281639819014146,0.08008658008658,0.613884766649765,0.52,0.381837661840736,0.620689655172414,0.311062388839116"
[1] "BarChartLit,1000,1,MajorityClass,3,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,3,0.41,0.291462891778612,0.140660809778457,0.361609084519482,0.32,0.392899949567788,0.517241379310345,0.386541023656292"
[1] "BarChartLit,1000,1,regLogistic,3,0.576666666666667,0.144913767461894,0.14942704354469,0.209200404971463,0.64,0.286227053099329,0.517241379310345,0.269382019312463"
[1] "BarChartLit,1000,1,xgbTree,3,0.433333333333333,0.303477784083281,0.089554367201426,0.45411176402406,0.44,0.373769586381374,0.448275862068966,0.407922227355386"
[1] "BarChartLit,1000,1,svmLinear,3,0.55,0.330076683944732,0.271601731601732,0.480494961869427,0.48,0.460595427841124,0.620689655172414,0.28956132657546"
[1] "BarChartLit,1000,1,MajorityClass,4,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,4,0.51,0.206110362382587,0.0793104934281405,0.367161612881028,0.4,0.329772648956823,0.586206896551724,0.345624876487906"
[1] "BarChartLit,1000,1,regLogistic,4,0.59,0.226650326208392,0.117067736185383,0.442965778876032,0.52,0.2992490601489,0.655172413793104,0.223325968134775"
[1] "BarChartLit,1000,1,xgbTree,4,0.523333333333333,0.233095116493961,0.0115482556659027,0.427091002868219,0.4,0.329772648956823,0.620689655172414,0.293234889016505"
[1] "BarChartLit,1000,1,svmLinear,4,0.523333333333333,0.245980025285604,0.0423507864684335,0.430463195533951,0.4,0.377491721763537,0.620689655172414,0.293234889016505"
[1] "BarChartLit,1000,1,MajorityClass,5,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,5,0.576666666666667,0.110050493461461,0.0797852147852147,0.310518681216829,0.48,0.364539283053128,0.655172413793103,0.25659058467821"
[1] "BarChartLit,1000,1,regLogistic,5,0.563333333333333,0.254563291021707,0.108529803529803,0.500134759067428,0.44,0.364742425606121,0.655172413793103,0.268746021712646"
[1] "BarChartLit,1000,1,xgbTree,5,0.606666666666667,0.191033576003,0.161480186480186,0.443372947170833,0.64,0.339498540879426,0.586206896551724,0.273416683765277"
[1] "BarChartLit,1000,1,svmLinear,5,0.583333333333333,0.288995706747554,0.20041625041625,0.526479810416059,0.6,0.370185138865726,0.586206896551724,0.367995645829474"
[1] "BarChartLit,1000,1,MajorityClass,6,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,6,0.503333333333333,0.241625156077306,-0.0117316017316018,0.504028173700862,0.4,0.333333333333333,0.586206896551724,0.367995645829474"
[1] "BarChartLit,1000,1,regLogistic,6,0.556666666666667,0.291462891778612,0.05506993006993,0.606044745200184,0.56,0.291356978445495,0.551724137931034,0.395815297097623"
[1] "BarChartLit,1000,1,xgbTree,6,0.58,0.238927645434944,0.135547785547786,0.481294141802178,0.56,0.235072880739696,0.586206896551724,0.331478522963371"
[1] "BarChartLit,1000,1,svmLinear,6,0.566666666666667,0.25043172599077,0.160889110889111,0.483128235284976,0.56,0.309838667696593,0.586206896551724,0.367995645829474"
[1] "BarChartLit,1000,1,MajorityClass,7,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,7,0.52,0.190645427462464,0.0600747291923762,0.335504088321366,0.32,0.276753667712991,0.689655172413793,0.259449502075764"
[1] "BarChartLit,1000,1,regLogistic,7,0.513333333333333,0.25298221281347,0.075898905016552,0.424092565940119,0.52,0.260199353772648,0.517241379310345,0.3586931354274"
[1] "BarChartLit,1000,1,xgbTree,7,0.52,0.145890200552621,0.0248667998667998,0.274167656583046,0.44,0.175541490294502,0.586206896551724,0.246390242646276"
[1] "BarChartLit,1000,1,svmLinear,7,0.663333333333333,0.260317944250421,0.277795537795538,0.575425328657475,0.72,0.398515764825954,0.620689655172414,0.274100377356627"
[1] "BarChartLit,1000,1,MajorityClass,8,0.537037037037037,0,0,0,0,0,0,0"
