x,y,duration,start_time
802.17,175.86,1353826.4,29690981692.6
792.58,179.63,410434.399998,29692359204.8
632.47,233.65,172957.099998,29692871365.2
362.01,193.62,115971.700005,29693188283.4
373.67,202.95,100545.000004,29693310436.1
395.67,253.72,122100.700001,29693421306.0
430.89,268.88,146496.400002,29693554607.1
619.23,276.61,158140.5,29693743086.5
644.47,283.11,177900.400002,29693943157.5
406.12,327.01,299391.200001,29694154491.7
529.01,339.99,157948.899998,29694520572.4
690.3,335.12,134766.899998,29694785459.6
664.65,337.82,119944.399998,29694933807.5
379.52,388.01,125933.5,29695109348.8
415.71,377.15,143485.700001,29695243259.4
654.75,399.16,175586.5,29695533472.8
670.33,383.57,113540.900002,29695719896.2
412.59,422.84,321381.499996,29695899591.4
645.5,400.07,167499.299999,29696286420.6
932.88,263.78,112229.100002,29696531396.9
1024.73,250.07,123575.400002,29696786199.5
741.22,346.25,100728.299999,29696986579.7
291.3,708.86,120022.499996,29697534703.2
